--------------------------------------------------------------------------------
TIMESTAMP: 08:59:35.899 AM 30-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
48, 23899, 0, 0, 7167, 4662, 8171
48, 23999, 0, 0, 8915, 6035, 10050
49, 24099, 0, 0, 1978, 1367, 1655
49, 24199, 26, 0, 3888, 2847, 3265
49, 24299, 27, 0, 5692, 4233, 5075
49, 24399, 28.666666666666668, 0, 7567, 5553, 6880
49, 24499, 0, 0, 9675, 6844, 8481
50, 24599, 0, 0, 2572, 920, 1508
50, 24699, 0, 0, 4946, 1972, 3082
50, 24799, 0, 0, 7062, 3113, 4825
50, 24899, 0, 0, 9216, 4142, 6642
50, 24999, 0, 0, 11091, 5229, 8680
51, 25099, 0, 0, 2044, 1097, 1859
51, 25199, 0, 0, 4137, 2259, 3604
51, 25299, 0, 0, 5852, 3397, 5751
51, 25399, 27, 0, 7394, 4310, 8296
51, 25499, 0, 0, 8814, 5206, 10980
52, 25599, 0, 0, 1782, 681, 2537
52, 25699, 0, 0, 3357, 1499, 5144
52, 25799, 0, 0, 4576, 2618, 7806
52, 25899, 0, 0, 5799, 3671, 10530
52, 25999, 0, 0, 7010, 4752, 13238
53, 26099, 0, 0, 1652, 883, 2465
53, 26199, 0, 0, 2872, 1974, 5154
53, 26299, 0, 0, 4067, 3054, 7879
53, 26399, 0, 0, 5367, 4181, 10452
53, 26499, 0, 0, 6615, 5288, 13097
54, 26599, 0, 0, 1608, 1007, 2385
54, 26699, 0, 0, 3209, 2006, 4785
54, 26799, 0, 0, 4636, 3061, 7303
54, 26899, 0, 0, 6078, 4126, 9796
54, 26999, 0, 0, 7460, 5226, 12314
55, 27099, 0, 0, 1778, 1097, 2125
55, 27199, 0, 0, 3411, 2199, 4390
55, 27299, 0, 0, 5032, 3227, 6741
55, 27399, 0, 0, 6629, 4304, 9067
55, 27499, 0, 0, 8279, 5291, 11430
56, 27599, 0, 0, 1941, 1033, 2026
56, 27699, 0, 0, 3713, 2237, 4050
56, 27799, 0, 0, 5531, 3322, 6147
56, 27899, 0, 0, 7254, 4447, 8299
56, 27999, 0, 0, 8946, 5595, 10459
57, 28099, 0, 0, 2016, 903, 2081
57, 28199, 0, 0, 3986, 1744, 4270
57, 28299, 0, 0, 5869, 2753, 6378
57, 28399, 0, 0, 7672, 3935, 8393
57, 28499, 0, 0, 9501, 5112, 10387
58, 28599, 0, 0, 2204, 1048, 1748
58, 28699, 0, 0, 4019, 2474, 3507
58, 28799, 0, 0, 5732, 3995, 5273
58, 28899, 0, 0, 7342, 5456, 7202
58, 28999, 0, 0, 9070, 6888, 9042
59, 29099, 0, 0, 1899, 1265, 1836
59, 29199, 0, 0, 3548, 2545, 3907
59, 29299, 0, 0, 5119, 4002, 5879
59, 29399, 0, 0, 6541, 5561, 7898
59, 29499, 0, 0, 7943, 7049, 10008
60, 29599, 0, 0, 1761, 1343, 1896
60, 29699, 0, 0, 3421, 2759, 3820
60, 29799, 0, 0, 5075, 4227, 5698
60, 29899, 0, 0, 6730, 5745, 7525
60, 29999, 0, 0, 8478, 7264, 9258
61, 30099, 0, 0, 1919, 1331, 1750
61, 30199, 0, 0, 3693, 2514, 3793
61, 30299, 0, 0, 5461, 3607, 5932
61, 30399, 0, 0, 7362, 4727, 7911
61, 30499, 0, 0, 9283, 5834, 9883
62, 30599, 0, 0, 2216, 1121, 1663
62, 30699, 0, 0, 4433, 2157, 3410
62, 30799, 0, 0, 6571, 3195, 5234
62, 30899, 0, 0, 8680, 4263, 7057
62, 30999, 0, 0, 10773, 5268, 8959
63, 31099, 0, 0, 2382, 877, 1741
63, 31199, 0, 0, 4575, 1885, 3540
63, 31299, 0, 0, 6581, 3076, 5343
63, 31399, 0, 0, 8671, 4161, 7168
63, 31499, 0, 0, 10829, 5125, 9046
64, 31599, 0, 0, 2168, 1092, 1740
64, 31699, 0, 0, 4366, 2245, 3389
64, 31799, 0, 0, 6444, 3335, 5221
64, 31899, 0, 0, 8345, 4502, 7153
64, 31999, 0, 0, 10341, 5616, 9043
65, 32099, 0, 0, 2397, 745, 1858
65, 32199, 0, 0, 4650, 1573, 3777
65, 32299, 0, 0, 6925, 2420, 5655
65, 32399, 0, 0, 9142, 3356, 7502
65, 32499, 0, 0, 11518, 4134, 9348
66, 32599, 0, 0, 2336, 789, 1875
66, 32699, 0, 0, 4299, 1901, 3800
66, 32799, 0, 0, 6389, 3052, 5559
66, 32899, 0, 0, 8452, 4147, 7401
66, 32999, 0, 0, 10485, 5219, 9296
67, 33099, 0, 0, 2277, 865, 1858
67, 33199, 0, 0, 4311, 1911, 3778
67, 33299, 0, 0, 6154, 3136, 5710
67, 33399, 0, 0, 8218, 4316, 7466
67, 33499, 0, 0, 10380, 5450, 9170
68, 33599, 0, 0, 2315, 1000, 1685
68, 33699, 0, 0, 4316, 2250, 3434
68, 33799, 0, 0, 6289, 3587, 5124
68, 33899, 0, 0, 8371, 4745, 6884
68, 33999, 0, 0, 10586, 5818, 8596
69, 34099, 0, 0, 2394, 826, 1780
69, 34199, 0, 0, 4739, 1747, 3514
69, 34299, 0, 0, 7103, 2915, 4982
69, 34399, 0, 0, 9426, 4132, 6442
69, 34499, 0, 0, 11725, 5324, 7951
70, 34599, 0, 0, 2459, 881, 1660
70, 34699, 0, 0, 4775, 1915, 3310
70, 34799, 0, 0, 7031, 3048, 4921
70, 34899, 0, 0, 9359, 4200, 6441
70, 34999, 0, 0, 11770, 5362, 7868
71, 35099, 0, 0, 2512, 757, 1731
71, 35199, 0, 0, 4876, 1781, 3343
71, 35299, 0, 0, 7201, 2848, 4951
71, 35399, 0, 0, 9652, 3833, 6515
71, 35499, 0, 0, 12155, 4789, 8056
72, 35599, 0, 0, 2453, 803, 1744
72, 35699, 0, 0, 4904, 1682, 3414
72, 35799, 0, 0, 7217, 2565, 5218
72, 35899, 0, 0, 9563, 3402, 7035
72, 35999, 0, 0, 12043, 4267, 8690
73, 36099, 0, 0, 2446, 762, 1792
73, 36199, 0, 0, 4765, 1681, 3554
73, 36299, 0, 0, 7229, 2614, 5157
73, 36399, 0, 0, 9649, 3618, 6733
73, 36499, 0, 0, 12129, 4645, 8226
74, 36599, 0, 0, 2372, 962, 1666
74, 36699, 0, 0, 4795, 2088, 3117
74, 36799, 0, 0, 7055, 3322, 4623
74, 36899, 0, 0, 9423, 4416, 6161
74, 36999, 0, 0, 11812, 5492, 7696
75, 37099, 0, 0, 2384, 881, 1735
75, 37199, 0, 0, 4690, 1942, 3368
75, 37299, 0, 0, 7032, 3007, 4961
75, 37399, 0, 0, 9326, 4138, 6536
75, 37499, 0, 0, 11667, 5251, 8082
76, 37599, 0, 0, 2348, 895, 1757
76, 37699, 0, 0, 4413, 2098, 3489
76, 37799, 0, 0, 6592, 3302, 5106
76, 37899, 0, 0, 8738, 4571, 6691
76, 37999, 0, 0, 10885, 5855, 8260
77, 38099, 0, 0, 2336, 962, 1702
77, 38199, 0, 0, 4743, 2103, 3154
77, 38299, 0, 0, 7173, 3329, 4498
77, 38399, 0, 0, 9591, 4565, 5844
